SITE,YEAR,MONTH,RTcount,RTpercent,QCcount,QCpercent
DONG,2020,07,685,15.00,0,0.00
DONG,2020,08,676,15.00,0,0.00
DONG,2020,09,629,14.00,0,0.00
DONG,2020,10,730,16.00,0,0.00
DONG,2020,11,365,8.00,0,0.00
DONG,2020,12,618,13.00,0,0.00
PTB,2020,01,0,0.00,0,0.00
PTB,2020,02,0,0.00,0,0.00
PTB,2020,03,0,0.00,0,0.00
PTB,2020,04,0,0.00,0,0.00
PTB,2020,05,0,0.00,0,0.00
PTB,2020,06,0,0.00,0,0.00
PTB,2020,07,0,0.00,0,0.00
PTB,2020,08,0,0.00,0,0.00
PTB,2020,09,0,0.00,0,0.00
PTB,2020,10,0,0.00,0,0.00
PTB,2020,11,0,0.00,0,0.00
PTB,2020,12,2,0.00,0,0.00
JTC,2020,01,0,0.00,0,0.00
JTC,2020,02,0,0.00,0,0.00
JTC,2020,03,0,0.00,0,0.00
JTC,2020,04,0,0.00,0,0.00
JTC,2020,05,0,0.00,0,0.00
JTC,2020,06,0,0.00,0,0.00
JTC,2020,07,0,0.00,0,0.00
JTC,2020,08,0,0.00,0,0.00
JTC,2020,09,0,0.00,0,0.00
JTC,2020,10,0,0.00,0,0.00
JTC,2020,11,0,0.00,0,0.00
JTC,2020,12,0,0.00,0,0.00
