SITE,YEAR,MONTH,RTcount,RTpercent,QCcount,QCpercent
CBG,2007,01,0,0.00,0,0.00
CBG,2007,02,0,0.00,0,0.00
CBG,2007,03,0,0.00,0,0.00
CBG,2007,04,0,0.00,0,0.00
CBG,2007,05,0,0.00,0,0.00
CBG,2007,06,0,0.00,0,0.00
CBG,2007,07,0,0.00,0,0.00
CBG,2007,08,0,0.00,0,0.00
CBG,2007,09,0,0.00,0,0.00
CBG,2007,10,353,47.00,353,47.00
CBG,2007,11,719,99.00,719,99.00
CBG,2007,12,654,87.00,654,87.00
CBG,2008,01,728,97.00,728,97.00
CBG,2008,02,686,98.00,686,98.00
CBG,2008,03,656,88.00,660,88.00
CBG,2008,04,662,91.00,662,91.00
CBG,2008,05,744,100.00,744,100.00
CBG,2008,06,713,99.00,713,99.00
CBG,2008,07,722,97.00,722,97.00
CBG,2008,08,744,100.00,744,100.00
CBG,2008,09,719,99.00,719,99.00
CBG,2008,10,744,100.00,744,100.00
CBG,2008,11,25,3.00,25,3.00
CBG,2008,12,384,51.00,384,51.00
CBG,2009,01,741,99.00,743,99.00
CBG,2009,02,121,18.00,94,13.00
CBG,2009,03,57,7.00,57,7.00
CBG,2009,04,0,0.00,30,4.00
CBG,2009,05,0,0.00,158,21.00
CBG,2009,06,541,75.00,541,75.00
CBG,2009,07,741,99.00,742,99.00
CBG,2009,08,370,49.00,370,49.00
CBG,2009,09,701,97.00,702,97.00
CBG,2009,10,632,84.00,625,84.00
CBG,2009,11,720,100.00,720,100.00
CBG,2009,12,598,80.00,598,80.00
CBG,2010,01,706,94.00,1,0.00
CBG,2010,02,625,93.00,625,93.00
CBG,2010,03,714,95.00,714,95.00
CBG,2010,04,720,100.00,720,100.00
CBG,2010,05,744,100.00,744,100.00
CBG,2010,06,720,100.00,720,100.00
CBG,2010,07,493,66.00,493,66.00
CBG,2010,08,744,100.00,744,100.00
CBG,2010,09,720,100.00,718,99.00
CBG,2010,10,735,98.00,711,95.00
CBG,2010,11,720,100.00,720,100.00
