SITE,YEAR,MONTH,RTcount,RTpercent,QCcount,QCpercent
COF,2021,01,12,1.00,12,1.00
COF,2021,02,153,22.00,153,22.00
COF,2021,03,0,0.00,0,0.00
COF,2021,04,0,0.00,0,0.00
COF,2021,05,0,0.00,0,0.00
COF,2021,06,0,0.00,0,0.00
COF,2021,07,0,0.00,0,0.00
COF,2021,08,0,0.00,0,0.00
COF,2021,09,0,0.00,0,0.00
COF,2021,10,0,0.00,0,0.00
COF,2021,11,0,0.00,0,0.00
COF,2021,12,0,0.00,0,0.00
NEWC,2021,01,0,0.00,0,0.00
NEWC,2021,02,644,95.00,669,99.00
NEWC,2021,03,427,57.00,744,100.00
NEWC,2021,04,615,85.00,720,100.00
NEWC,2021,05,491,65.00,744,100.00
NEWC,2021,06,687,95.00,720,100.00
NEWC,2021,07,721,96.00,744,100.00
NEWC,2021,08,708,95.00,744,100.00
NEWC,2021,09,703,97.00,720,100.00
NEWC,2021,10,673,90.00,744,100.00
NEWC,2021,11,691,95.00,720,100.00
NEWC,2021,12,347,46.00,744,100.00
SAG,2021,01,0,0.00,0,0.00
SAG,2021,02,0,0.00,0,0.00
SAG,2021,03,0,0.00,0,0.00
SAG,2021,04,0,0.00,0,0.00
SAG,2021,05,0,0.00,0,0.00
SAG,2021,06,0,0.00,0,0.00
SAG,2021,07,0,0.00,0,0.00
SAG,2021,08,0,0.00,0,0.00
SAG,2021,09,433,60.00,433,60.00
SAG,2021,10,433,58.00,433,58.00
SAG,2021,11,238,33.00,226,31.00
SAG,2021,12,0,0.00,0,0.00
ROT,2021,01,0,0.00,0,0.00
ROT,2021,02,0,0.00,0,0.00
ROT,2021,03,0,0.00,0,0.00
ROT,2021,04,0,0.00,0,0.00
ROT,2021,05,0,0.00,0,0.00
ROT,2021,06,0,0.00,0,0.00
ROT,2021,07,0,0.00,0,0.00
ROT,2021,08,0,0.00,0,0.00
ROT,2021,09,0,0.00,0,0.00
ROT,2021,10,0,0.00,0,0.00
ROT,2021,11,0,0.00,0,0.00
ROT,2021,12,0,0.00,0,0.00
TURQ,2021,01,679,91.00,679,91.00
TURQ,2021,02,594,88.00,594,88.00
TURQ,2021,03,0,0.00,0,0.00
TURQ,2021,04,0,0.00,0,0.00
TURQ,2021,05,0,0.00,0,0.00
TURQ,2021,06,0,0.00,0,0.00
TURQ,2021,07,0,0.00,0,0.00
TURQ,2021,08,0,0.00,0,0.00
TURQ,2021,09,0,0.00,0,0.00
TURQ,2021,10,0,0.00,0,0.00
TURQ,2021,11,175,24.00,175,24.00
TURQ,2021,12,721,96.00,721,96.00
CORL,2021,01,576,77.00,576,77.00
CORL,2021,02,499,74.00,499,74.00
CORL,2021,03,627,84.00,627,84.00
CORL,2021,04,432,60.00,432,60.00
CORL,2021,05,662,88.00,662,88.00
CORL,2021,06,706,98.00,706,98.00
CORL,2021,07,521,70.00,520,69.00
CORL,2021,08,463,62.00,463,62.00
CORL,2021,09,660,91.00,660,91.00
CORL,2021,10,734,98.00,734,98.00
CORL,2021,11,678,94.00,662,91.00
CORL,2021,12,373,50.00,373,50.00
NWA,2021,01,0,0.00,0,0.00
NWA,2021,02,0,0.00,0,0.00
NWA,2021,03,1,0.00,0,0.00
NWA,2021,04,282,39.00,282,39.00
NWA,2021,05,271,36.00,271,36.00
NWA,2021,06,135,18.00,135,18.00
NWA,2021,07,441,59.00,441,59.00
NWA,2021,08,466,62.00,466,62.00
NWA,2021,09,446,61.00,445,61.00
NWA,2021,10,489,65.00,489,65.00
NWA,2021,11,426,59.00,424,58.00
NWA,2021,12,436,58.00,436,58.00
