SITE,YEAR,MONTH,RTcount,RTpercent,QCcount,QCpercent
DONG,2022,09,626,14.00,0,0.00
DONG,2022,10,466,10.00,0,0.00
DONG,2022,11,531,12.00,0,0.00
DONG,2022,12,0,0.00,0,0.00
PTB,2022,01,4274,95.00,4274,95.00
PTB,2022,02,3917,97.00,3917,97.00
PTB,2022,03,4306,96.00,4306,96.00
PTB,2022,04,3967,91.00,3967,91.00
PTB,2022,05,2755,61.00,0,0.00
PTB,2022,06,0,0.00,0,0.00
PTB,2022,07,0,0.00,0,0.00
PTB,2022,08,0,0.00,0,0.00
PTB,2022,09,0,0.00,0,0.00
PTB,2022,10,947,21.00,526,11.00
PTB,2022,11,4103,94.00,4103,94.00
PTB,2022,12,4347,97.00,4347,97.00
JTC,2022,01,1989,44.00,1988,44.00
JTC,2022,02,2926,72.00,1797,44.00
JTC,2022,03,4273,95.00,4273,95.00
JTC,2022,04,4270,98.00,4270,98.00
JTC,2022,05,3090,69.00,3090,69.00
JTC,2022,06,0,0.00,0,0.00
JTC,2022,07,0,0.00,0,0.00
JTC,2022,08,0,0.00,0,0.00
JTC,2022,09,0,0.00,0,0.00
JTC,2022,10,1013,22.00,1013,22.00
JTC,2022,11,4282,99.00,4282,99.00
JTC,2022,12,4463,99.00,4463,99.00
