SITE,YEAR,MONTH,RTcount,RTpercent,QCcount,QCpercent
RRK,2021,01,76,10.00,0,0.00
RRK,2021,02,909,135.00,0,0.00
RRK,2021,03,1000,134.00,0,0.00
RRK,2021,04,2126,295.00,0,0.00
RRK,2021,05,0,0.00,0,0.00
RRK,2021,06,0,0.00,0,0.00
RRK,2021,07,0,0.00,0,0.00
RRK,2021,08,0,0.00,0,0.00
RRK,2021,09,0,0.00,0,0.00
RRK,2021,10,0,0.00,0,0.00
RRK,2021,11,0,0.00,0,0.00
RRK,2021,12,0,0.00,0,0.00
NNB,2021,01,3889,522.00,0,0.00
NNB,2021,02,4025,598.00,0,0.00
NNB,2021,03,2587,347.00,0,0.00
NNB,2021,04,0,0.00,0,0.00
NNB,2021,05,0,0.00,0,0.00
NNB,2021,06,1614,224.00,0,0.00
NNB,2021,07,0,0.00,0,0.00
NNB,2021,08,0,0.00,0,0.00
NNB,2021,09,0,0.00,0,0.00
NNB,2021,10,0,0.00,0,0.00
NNB,2021,11,0,0.00,0,0.00
NNB,2021,12,0,0.00,0,0.00
SEAL,2021,01,0,0.00,0,0.00
SEAL,2021,02,663,98.00,0,0.00
SEAL,2021,03,425,57.00,0,0.00
SEAL,2021,04,424,58.00,0,0.00
SEAL,2021,05,493,66.00,0,0.00
SEAL,2021,06,687,95.00,0,0.00
SEAL,2021,07,720,96.00,0,0.00
SEAL,2021,08,739,99.00,0,0.00
SEAL,2021,09,715,99.00,0,0.00
SEAL,2021,10,740,99.00,0,0.00
SEAL,2021,11,719,99.00,0,0.00
SEAL,2021,12,728,97.00,0,0.00
RHED,2021,01,725,97.00,0,0.00
RHED,2021,02,672,100.00,0,0.00
RHED,2021,03,744,100.00,0,0.00
RHED,2021,04,427,59.00,0,0.00
RHED,2021,05,744,100.00,0,0.00
RHED,2021,06,719,99.00,0,0.00
RHED,2021,07,744,100.00,0,0.00
RHED,2021,08,730,98.00,0,0.00
RHED,2021,09,713,99.00,0,0.00
RHED,2021,10,720,96.00,0,0.00
RHED,2021,11,708,98.00,0,0.00
RHED,2021,12,377,50.00,0,0.00
